Source,NP Type,Size,Shape,Surface area,Zeta potential,Hydrodynamic size,Molecular weight,Surface charge,Surface charge (categorical),Surface coating,Surface reactivity,Aggregation,Electronegativity,Ionic radius,QD Concentration,QD Core,QD Shell,QD Emission wavelength,QD Surface ligand,Cell origin (species),Cell origin (organ),Cell origin (anatomical),Cell origin (primary or cell-line),Cell name,Dose,Exposure time,Assay,Target
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,10.0,4.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,10.0,4.0,XTT,0.0
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,1.56,24.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,1.56,24.0,XTT,0.0
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,3.13,24.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,3.13,24.0,XTT,0.0
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,12.5,24.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,12.5,24.0,XTT,0.0
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,25.0,4.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,25.0,4.0,XTT,0.0
"Furxhi, 2020",CuO,40.0,,,-47.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,15.0,24.0,XTT,0.0
"Furxhi, 2020",CuO,60.0,,,-36.6,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,15.0,24.0,XTT,0.0
"Furxhi, 2020",FeO,8.0,,,-23.0,1355.298240095908,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,72.0,MTT,0.0
"Furxhi, 2020",FeO,8.0,,,-30.0,14.0,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,24.0,MTT,0.0
"Furxhi, 2020",FeO,8.0,,,-30.0,14.0,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,72.0,MTT,0.0
"Furxhi, 2020",SiO2,50.0,Spherical,,-40.0,,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,72.0,MTT,0.0
"Furxhi, 2020",SiO2,25.0,Spherical,,-40.0,,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,72.0,MTT,0.0
"Furxhi, 2020",TiO2,21.0,,,-30.0,880.1028420789514,,,,,,,,,,,,,,Human,,Endothelial,,HCMEC/D3,235.0,72.0,MTT,0.0
