Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
1,In-house,CdSe,No-shell,3.4,NA,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,2.3E+03,3.1E+04,1.9E+10,9.4E+01,1.1E+01,25.0,8.0,IC50,4.5E+01,6.6E+02,4.5E+01,2.9E+02,2.0E+01,2.3E+03,1.6E+02,8.3E+04,1,
2,In-house,CdSe,No-shell,5.0,NA,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,7.2E+02,9.7E+03,5.8E+09,9.4E+01,1.1E+01,61.0,6.0,Over50,NA,NA,NA,9.0E+01,2.0E+01,7.2E+02,1.6E+02,5.6E+04,1,
3,In-house,CdSe,No-shell,9.5,NA,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,1.0E+02,1.4E+03,8.4E+08,9.4E+01,1.1E+01,83.0,7.0,Over50,NA,NA,NA,1.3E+01,2.0E+01,1.0E+02,1.6E+02,3.0E+04,1,
4,In-house,CdSe,No-shell,3.4,NA,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,2.3E+03,3.1E+04,1.9E+10,9.4E+01,1.1E+01,135.0,6.0,Over50,NA,NA,NA,2.9E+02,2.0E+01,2.3E+03,1.6E+02,8.3E+04,1,
5,In-house,CdSe,No-shell,5.0,NA,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,7.2E+02,9.7E+03,5.8E+09,9.4E+01,1.1E+01,83.0,4.0,Over50,NA,NA,NA,9.0E+01,2.0E+01,7.2E+02,1.6E+02,5.6E+04,1,
6,In-house,CdSe,No-shell,9.5,NA,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,1.0E+02,1.4E+03,8.4E+08,9.4E+01,1.1E+01,71.0,8.0,Over50,NA,NA,NA,1.3E+01,2.0E+01,1.0E+02,1.6E+02,3.0E+04,1,
7,In-house,CdSe,No-shell,3.4,NA,Alkylthiol,AUT,Neutral,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,2.9E+02,3.9E+03,2.3E+09,1.2E+01,1.4E+00,7.3,1.0,IC50,2.5E+00,3.6E+01,2.5E+00,7.3E+00,5.0E-01,2.9E+02,2.0E+01,1.0E+04,1,
8,In-house,CdSe,No-shell,5.0,NA,Alkylthiol,AUT,Neutral,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,9.0E+01,1.2E+03,7.3E+08,1.2E+01,1.4E+00,7.0,2.0,IC50,7.0E-01,3.2E+00,7.0E-01,2.3E+00,5.0E-01,9.0E+01,2.0E+01,7.0E+03,1,
9,In-house,CdSe,No-shell,9.5,NA,Alkylthiol,AUT,Neutral,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,1.3E+01,1.7E+02,1.1E+08,1.2E+01,1.4E+00,17.0,2.0,IC50,3.0E+00,2.0E+00,3.0E+00,3.3E-01,5.0E-01,1.3E+01,2.0E+01,3.7E+03,1,
10,In-house,CdSe,No-shell,3.4,NA,Aminothiol,CYST,Positive,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,2.9E+02,3.9E+03,2.3E+09,1.2E+01,1.4E+00,77.0,7.0,Over50,NA,NA,NA,7.3E+00,5.0E-01,2.9E+02,2.0E+01,1.0E+04,1,
11,In-house,CdSe,No-shell,5.0,NA,Aminothiol,CYST,Positive,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,1.6E+01,2.1E+02,1.3E+08,2.1E+00,2.4E-01,145.0,5.0,Over50,NA,NA,NA,2.3E+00,5.0E-01,1.6E+01,3.5E+00,1.2E+03,1,
