Reference,Study title,DOI,Dose,Time,Zeta_W,Zeta_W measurement,Zeta_M,Zeta_M measurement,Hydro_W,Hydro_size_W measrement,Hydro_M,Hydro_size_M measrement,Size,Size measurement,SSA,Surf_area measurement,NP type,shape,Shape measurement,C_Origin,C_name,C_Type,Assay,Cell viability
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,10,4,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,10,4,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,1.56,24,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,1.56,24,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,3.13,24,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,3.13,24,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,12.5,24,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,12.5,24,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,25,4,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,25,4,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,15,24,-47.6,LDV,?,?,?,?,?,?,40,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2012",Effects of copper nanoparticles on rat cerebral microvessel endothelial cells.,10.2217/nnm.11.154,15,24,-36.6,LDV,?,?,?,?,?,?,60,TEM,?,?,CuO,?,?,Rat,BMEC,Endothelial,XTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,72,-23,?,15,?,?,?,910,DLS,8,DLS,?,?,FeO,?,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,24,-30,?,?,?,14,DLS,?,?,8,DLS,?,?,FeO,?,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,72,-30,?,?,?,14,DLS,?,?,8,DLS,?,?,FeO,?,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,72,-40,?,?,?,?,?,?,?,50,TEM,?,?,SiO2,Spherical,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,72,-40,?,?,?,?,?,?,?,25,TEM,?,?,SiO2,Spherical,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Kenzaoui et al., 2012","Induction of oxidative stress, lysosome activation and autophagy by nanoparticles in human brain-derived endothelial cells.",doi:10.1042/BJ20111252,235,72,-30,?,?,?,?,?,650,DLS,21,TEM,?,?,TiO2,?,?,Human,HCMEC/D3,Endothelial,MTT,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,100,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,200,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,300,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,400,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,500,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,600,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,700,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Liu et al., 2017 b",Blood-brain barrier dysfunction induced by silica NPs in vitro and in vivo: Involvement of oxidative stress and Rho-kinase/JNK signaling pathways,doi.org/10.1016/j.biomaterials.2017.01.006,800,24,?,?,-15.5,DLS,?,?,170,DLS,20,TEM,147.8,BET,SiO2,Spherical,TEM,Human,BMEC,Endothelial,MTS,Toxic
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,25,24,-44.2,LDV,?,?,106,DLS,393,DLS,28,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,50,24,-44.2,LDV,?,?,106,DLS,393,DLS,28,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,25,24,-46,LDV,?,?,54.9,DLS,73.9,DLS,47,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Toxic
