No,Year,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Size_in_Medium (nm),Zeta_in_Water (mV),Zeta_in_Medium (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Aspect_Ratio,Cell_Viability (%),PDI,Article_ID,DOI
1,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,,113.67,,1,10.3109/15376516.2015.1070229
2,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,,97.265,,1,10.3109/15376516.2015.1070229
3,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,,108.73,,1,10.3109/15376516.2015.1070229
4,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,,98.451,,1,10.3109/15376516.2015.1070229
5,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,,98.056,,1,10.3109/15376516.2015.1070229
6,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,,100.43,,1,10.3109/15376516.2015.1070229
7,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,,95.881,,1,10.3109/15376516.2015.1070229
8,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,,79.473,,1,10.3109/15376516.2015.1070229
9,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,,94.893,,1,10.3109/15376516.2015.1070229
10,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,,79.275,,1,10.3109/15376516.2015.1070229
11,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,,105.21,,1,10.3109/15376516.2015.1070229
12,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,,120.85,,1,10.3109/15376516.2015.1070229
13,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,,117.25,,1,10.3109/15376516.2015.1070229
14,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,,106.06,,1,10.3109/15376516.2015.1070229
15,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,,84.93,,1,10.3109/15376516.2015.1070229
16,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,,96.127,,1,10.3109/15376516.2015.1070229
17,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,,94.225,,1,10.3109/15376516.2015.1070229
18,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,,103.94,,1,10.3109/15376516.2015.1070229
19,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,,79.014,,1,10.3109/15376516.2015.1070229
20,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,,386.9,90.09,-35.9,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,,63.803,,1,10.3109/15376516.2015.1070229
21,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,,97.463,,1,10.3109/15376516.2015.1070229
22,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,,95.486,,1,10.3109/15376516.2015.1070229
23,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,,89.951,,1,10.3109/15376516.2015.1070229
24,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,,105.96,,1,10.3109/15376516.2015.1070229
25,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,,95.091,,1,10.3109/15376516.2015.1070229
26,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,,96.474,,1,10.3109/15376516.2015.1070229
