Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,Animal?,Cell morphology,"Cell age: embryonic (E), Adult (A)",Cell-organ/tissue source,Exposure time (h),Test,Test indicator,Biochemical metric,% Cell viability,Interference checked (Y/N),Colloidal stability checked (Y/N),Positive control (Y/N),Publication year,Particle ID,Reference DOI,
CeO2,I,,20.3,0.002477829,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,105.58918,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095,
CeO2,I,,20.3,0.004955658,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,103.02621,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095,
CeO2,I,,20.3,0.009911315,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,104.85748,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095,
CeO2,I,,20.3,0.01982263,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,100.0967,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095,
CeO2,I,,20.3,0.03964526,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,97.53237,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095,
Se,I,,79.6,1.30755E-06,0,PC3,L,H,,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,91.09037,N,N,N,2014,2,10.4172/2157-7439.1000194,
Se,I,,79.6,2.61509E-06,0,PC3,L,H,,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,77.62113,N,N,N,2014,2,10.4172/2157-7439.1000194,
Se,I,,79.6,5.23018E-06,0,PC3,L,H,,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,54.2135,N,N,N,2014,2,10.4172/2157-7439.1000194,
Se,I,,79.6,7.84527E-06,0,PC3,L,H,,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,44.062363,N,N,N,2014,2,10.4172/2157-7439.1000194,
CuO,I,,52.51,3.47133E-05,-39.67,A549,L,H,,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,74.58716,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,52.51,8.67832E-05,-39.67,A549,L,H,,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,66.055046,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,52.51,0.000173566,-39.67,A549,L,H,,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,48.16514,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,52.51,3.47133E-05,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,84.71387,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,52.51,8.67832E-05,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,68.67281,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,52.51,0.000173566,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,45.37968,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,
CuO,I,,239,3.68153E-11,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-10,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,84.26966,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,65.16854,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,7.36305E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,46.067417,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-06,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,16.853933,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-06,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,14.606742,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-11,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
